exp_init,exp_final,time_init,time_final,eps_final,path_len
1.14344e+06,1.14344e+06,60,60,1,0
1.14367e+06,1.14367e+06,60,60,1,0
1.13354e+06,1.13354e+06,60,60,1,0
1.15972e+06,1.15972e+06,60.0001,60.0001,1,0
1.13143e+06,1.13143e+06,60,60,1,0
1.1614e+06,1.1614e+06,60,60,1,0
1.15885e+06,1.15885e+06,60,60,1,0
1.14722e+06,1.14722e+06,60,60,1,0
1.13761e+06,1.13761e+06,60,60,1,0
1.14902e+06,1.14902e+06,60,60,1,0
1.16111e+06,1.16111e+06,60,60,1,0
1.1643e+06,1.1643e+06,60,60,1,0
1.13847e+06,1.13847e+06,60,60,1,0
1.14248e+06,1.14248e+06,60,60,1,0
1.14526e+06,1.14526e+06,60,60,1,0
1.14569e+06,1.14569e+06,60,60,1,0
1.16014e+06,1.16014e+06,60,60,1,0
1.16347e+06,1.16347e+06,60,60,1,0
1.15402e+06,1.15402e+06,60,60,1,0
1.1365e+06,1.1365e+06,60,60,1,0
1.13751e+06,1.13751e+06,60,60,1,0
1.152e+06,1.152e+06,60,60,1,0
1.16199e+06,1.16199e+06,60,60,1,0
1.14308e+06,1.14308e+06,60,60,1,0
1.1594e+06,1.1594e+06,60,60,1,0
1.14813e+06,1.14813e+06,60,60,1,0
1.16034e+06,1.16034e+06,60,60,1,0
1.1363e+06,1.1363e+06,60,60,1,0
1.15601e+06,1.15601e+06,60.0001,60.0001,1,0
1.15581e+06,1.15581e+06,60,60,1,0
1.12578e+06,1.12578e+06,60,60,1,0
1.16318e+06,1.16318e+06,60,60,1,0
1.14508e+06,1.14508e+06,60.0001,60.0001,1,0
1.14496e+06,1.14496e+06,60,60,1,0
1.15632e+06,1.15632e+06,60,60,1,0
1.15296e+06,1.15296e+06,60,60,1,0
1.15617e+06,1.15617e+06,60,60,1,0
1.16719e+06,1.16719e+06,60,60,1,0
1.11117e+06,1.11117e+06,60,60,1,0
1.1463e+06,1.1463e+06,60,60,1,0
1.15094e+06,1.15094e+06,60,60,1,0
1.13661e+06,1.13661e+06,60,60,1,0
1.16501e+06,1.16501e+06,60,60,1,0
1.13892e+06,1.13892e+06,60.0001,60.0001,1,0
1.14896e+06,1.14896e+06,60,60,1,0
1.15358e+06,1.15358e+06,60,60,1,0
1.14212e+06,1.14212e+06,60.0001,60.0001,1,0
1.14144e+06,1.14144e+06,60,60,1,0
1.01034e+06,1.01034e+06,60,60,1,0
1.05095e+06,1.05095e+06,60,60,1,0
1.04692e+06,1.04692e+06,60.0001,60.0001,1,0
1.09942e+06,1.09942e+06,60,60,1,0
1.14176e+06,1.14176e+06,60,60,1,0
1.15773e+06,1.15773e+06,60,60,1,0
1.15825e+06,1.15825e+06,60,60,1,0
1.15724e+06,1.15724e+06,60,60,1,0
1.14182e+06,1.14182e+06,60,60,1,0
1.15051e+06,1.15051e+06,60,60,1,0
1.15069e+06,1.15069e+06,60,60,1,0
1.16579e+06,1.16579e+06,60,60,1,0
1.14956e+06,1.14956e+06,60,60,1,0
1.14529e+06,1.14529e+06,60,60,1,0
1.15892e+06,1.15892e+06,60,60,1,0
1.16404e+06,1.16404e+06,60,60,1,0
1.16425e+06,1.16425e+06,60,60,1,0
1.16322e+06,1.16322e+06,60,60,1,0
1.14166e+06,1.14166e+06,60.0001,60.0001,1,0
1.16146e+06,1.16146e+06,60,60,1,0
1.14799e+06,1.14799e+06,60,60,1,0
1.15807e+06,1.15807e+06,60,60,1,0
1.15652e+06,1.15652e+06,60,60,1,0
1.16432e+06,1.16432e+06,60,60,1,0
1.16296e+06,1.16296e+06,60,60,1,0
1.15082e+06,1.15082e+06,60,60,1,0
1.16112e+06,1.16112e+06,60,60,1,0
1.1584e+06,1.1584e+06,60,60,1,0
1.14515e+06,1.14515e+06,60,60,1,0
1.15155e+06,1.15155e+06,60,60,1,0
1.16297e+06,1.16297e+06,60,60,1,0
1.16415e+06,1.16415e+06,60.0001,60.0001,1,0
1.1576e+06,1.1576e+06,60,60,1,0
1.1362e+06,1.1362e+06,60,60,1,0
1.15812e+06,1.15812e+06,60,60,1,0
1.15943e+06,1.15943e+06,60,60,1,0
1.16165e+06,1.16165e+06,60,60,1,0
1.15332e+06,1.15332e+06,60,60,1,0
1.15243e+06,1.15243e+06,60,60,1,0
1.15845e+06,1.15845e+06,60,60,1,0
1.14459e+06,1.14459e+06,60,60,1,0
1.15163e+06,1.15163e+06,60,60,1,0
1.13984e+06,1.13984e+06,60,60,1,0
1.15723e+06,1.15723e+06,60,60,1,0
1.16563e+06,1.16563e+06,60,60,1,0
1.13886e+06,1.13886e+06,60,60,1,0
1.15849e+06,1.15849e+06,60,60,1,0
1.15752e+06,1.15752e+06,60,60,1,0
1.16771e+06,1.16771e+06,60,60,1,0
1.16579e+06,1.16579e+06,60,60,1,0
1.15539e+06,1.15539e+06,60,60,1,0
1.1584e+06,1.1584e+06,60,60,1,0
