exp_init,exp_final,time_init,time_final,eps_final,path_len
30537,635864,1.72382,40,1,6.83512
30537,636154,1.70637,40,1,6.83512
30537,636586,1.71468,40.0001,1,6.83512
30537,626447,1.75285,40,1,6.83512
30537,639094,1.70523,40.0001,1,6.83512
30537,626962,1.73957,40,1,6.83512
30537,637114,1.70392,40,1,6.83512
30537,635450,1.719,40,1,6.83512
30537,633369,1.73652,40,1,6.83512
30537,635299,1.7259,40,1,6.83512
30537,635907,1.72108,40,1,6.83512
30537,634365,1.72937,40,1,6.83512
30537,637776,1.71502,40,1,6.83512
30537,642190,1.69008,40,1,6.83512
30537,625191,1.73638,40,1,6.83512
30537,637144,1.70222,40,1,6.83512
30537,634343,1.72167,40,1,6.83512
30537,624481,1.75471,40,1,6.83512
30537,640540,1.70446,40,1,6.83512
30537,637500,1.71476,40,1,6.83512
30537,633845,1.74187,40,1,6.83512
30537,639034,1.70334,40,1,6.83512
30537,633384,1.72764,40,1,6.83512
30537,631758,1.72519,40,1,6.83512
30537,634906,1.72187,40.0001,1,6.83512
30537,641531,1.71207,40.0001,1,6.83512
30537,633037,1.74208,40.0001,1,6.83512
30537,633170,1.72078,40,1,6.83512
30537,634122,1.72518,40,1,6.83512
30537,634542,1.7307,40,1,6.83512
30537,622146,1.75847,40.0001,1,6.83512
30537,634593,1.71342,40.0001,1,6.83512
30537,636756,1.72351,40,1,6.83512
30537,639156,1.71607,40,1,6.83512
30537,633703,1.7292,40,1,6.83512
30537,633522,1.71843,40.0001,1,6.83512
30537,638318,1.71162,40,1,6.83512
30537,637076,1.71123,40,1,6.83512
30537,625388,1.75013,40.0001,1,6.83512
30537,632265,1.73507,40,1,6.83512
30537,624953,1.7555,40,1,6.83512
30537,631293,1.73561,40,1,6.83512
30537,640280,1.7055,40,1,6.83512
30537,637421,1.71697,40,1,6.83512
30537,635168,1.72994,40,1,6.83512
30537,636869,1.72123,40,1,6.83512
30537,638851,1.7206,40,1,6.83512
30537,635905,1.7072,40,1,6.83512
30537,637473,1.70988,40,1,6.83512
30537,634069,1.71029,40,1,6.83512
30537,643234,1.69924,40,1,6.83512
30537,639546,1.69296,40.0001,1,6.83512
30537,631651,1.73663,40,1,6.83512
30537,639935,1.69995,40,1,6.83512
30537,625325,1.75593,40,1,6.83512
30537,631249,1.73016,40.0001,1,6.83512
30537,639650,1.70377,40,1,6.83512
30537,635597,1.7213,40,1,6.83512
30537,638807,1.70359,40,1,6.83512
30537,636350,1.72618,40,1,6.83512
30537,626346,1.73031,40,1,6.83512
30537,635842,1.70731,40.0001,1,6.83512
30537,633710,1.71941,40.0001,1,6.83512
30537,630492,1.74276,40,1,6.83512
30537,639043,1.69916,40,1,6.83512
30537,634099,1.72258,40.0001,1,6.83512
30537,632830,1.71524,40.0001,1,6.83512
30537,634722,1.73035,40,1,6.83512
30537,635066,1.72675,40,1,6.83512
30537,641402,1.70305,40,1,6.83512
30537,636342,1.71694,40.0001,1,6.83512
30537,634429,1.70351,40,1,6.83512
30537,633999,1.72531,40.0001,1,6.83512
30537,629198,1.71867,40.0001,1,6.83512
30537,632146,1.73044,40.0001,1,6.83512
30537,622501,1.74701,40.0001,1,6.83512
30537,625110,1.74785,40,1,6.83512
30537,623193,1.74296,40.0001,1,6.83512
30537,633422,1.71948,40,1,6.83512
30537,632159,1.73337,40,1,6.83512
30537,622342,1.76487,40,1,6.83512
30537,639234,1.7177,40.0001,1,6.83512
30537,635373,1.71253,40,1,6.83512
30537,636206,1.71093,40.0001,1,6.83512
30537,637511,1.71305,40,1,6.83512
30537,637721,1.70999,40,1,6.83512
30537,632296,1.71588,40,1,6.83512
30537,634416,1.73218,40,1,6.83512
30537,643294,1.70218,40.0001,1,6.83512
30537,639341,1.70698,40,1,6.83512
30537,638444,1.72526,40.0001,1,6.83512
30537,635368,1.72471,40,1,6.83512
30537,629974,1.74259,40,1,6.83512
30537,630617,1.74422,40,1,6.83512
30537,640340,1.69286,40,1,6.83512
30537,629374,1.74686,40,1,6.83512
30537,633380,1.72583,40,1,6.83512
30537,638581,1.70668,40,1,6.83512
30537,629623,1.73842,40,1,6.83512
30537,626690,1.74176,40.0001,1,6.83512
