exp_init,exp_final,time_init,time_final,eps_final,path_len
1.1266e+06,1.1266e+06,60,60,1,0
1.14599e+06,1.14599e+06,60,60,1,0
1.13989e+06,1.13989e+06,60,60,1,0
1.14716e+06,1.14716e+06,60,60,1,0
1.13606e+06,1.13606e+06,60,60,1,0
1.1454e+06,1.1454e+06,60,60,1,0
1.13866e+06,1.13866e+06,60,60,1,0
1.14549e+06,1.14549e+06,60,60,1,0
1.13733e+06,1.13733e+06,60,60,1,0
1.15708e+06,1.15708e+06,60.0001,60.0001,1,0
1.13854e+06,1.13854e+06,60,60,1,0
1.13559e+06,1.13559e+06,60,60,1,0
1.13763e+06,1.13763e+06,60,60,1,0
1.14463e+06,1.14463e+06,60,60,1,0
1.13198e+06,1.13198e+06,60,60,1,0
1.13493e+06,1.13493e+06,60,60,1,0
1.14184e+06,1.14184e+06,60,60,1,0
1.14955e+06,1.14955e+06,60,60,1,0
1.12055e+06,1.12055e+06,60,60,1,0
1.12336e+06,1.12336e+06,60,60,1,0
1.15223e+06,1.15223e+06,60,60,1,0
1.15393e+06,1.15393e+06,60,60,1,0
1.11406e+06,1.11406e+06,60,60,1,0
1.16033e+06,1.16033e+06,60,60,1,0
1.13073e+06,1.13073e+06,60,60,1,0
1.13955e+06,1.13955e+06,60,60,1,0
1.14003e+06,1.14003e+06,60,60,1,0
1.13678e+06,1.13678e+06,60,60,1,0
1.15233e+06,1.15233e+06,60,60,1,0
1.14263e+06,1.14263e+06,60,60,1,0
1.15577e+06,1.15577e+06,60,60,1,0
1.12556e+06,1.12556e+06,60.0001,60.0001,1,0
1.14396e+06,1.14396e+06,60,60,1,0
1.13702e+06,1.13702e+06,60,60,1,0
1.13457e+06,1.13457e+06,60,60,1,0
1.14197e+06,1.14197e+06,60,60,1,0
1.14836e+06,1.14836e+06,60,60,1,0
1.13884e+06,1.13884e+06,60,60,1,0
1.14562e+06,1.14562e+06,60,60,1,0
1.13997e+06,1.13997e+06,60,60,1,0
1.14075e+06,1.14075e+06,60,60,1,0
1.13767e+06,1.13767e+06,60,60,1,0
1.14039e+06,1.14039e+06,60,60,1,0
1.14621e+06,1.14621e+06,60,60,1,0
1.13641e+06,1.13641e+06,60,60,1,0
1.14596e+06,1.14596e+06,60,60,1,0
1.14619e+06,1.14619e+06,60,60,1,0
1.11039e+06,1.11039e+06,60,60,1,0
1.13362e+06,1.13362e+06,60,60,1,0
1.14235e+06,1.14235e+06,60,60,1,0
1.14429e+06,1.14429e+06,60,60,1,0
1.15484e+06,1.15484e+06,60,60,1,0
1.15146e+06,1.15146e+06,60.0001,60.0001,1,0
1.14891e+06,1.14891e+06,60.0001,60.0001,1,0
1.13139e+06,1.13139e+06,60,60,1,0
1.12944e+06,1.12944e+06,60,60,1,0
1.14064e+06,1.14064e+06,60,60,1,0
1.1561e+06,1.1561e+06,60,60,1,0
1.14684e+06,1.14684e+06,60.0001,60.0001,1,0
1.13227e+06,1.13227e+06,60,60,1,0
1.11444e+06,1.11444e+06,60,60,1,0
1.13777e+06,1.13777e+06,60,60,1,0
1.13548e+06,1.13548e+06,60,60,1,0
1.13375e+06,1.13375e+06,60,60,1,0
1.1444e+06,1.1444e+06,60,60,1,0
1.13598e+06,1.13598e+06,60.0001,60.0001,1,0
1.14141e+06,1.14141e+06,60,60,1,0
1.11674e+06,1.11674e+06,60,60,1,0
1.14059e+06,1.14059e+06,60,60,1,0
1.12926e+06,1.12926e+06,60,60,1,0
1.15423e+06,1.15423e+06,60,60,1,0
1.14802e+06,1.14802e+06,60,60,1,0
1.14734e+06,1.14734e+06,60,60,1,0
1.14142e+06,1.14142e+06,60,60,1,0
1.14123e+06,1.14123e+06,60,60,1,0
1.14271e+06,1.14271e+06,60,60,1,0
1.14476e+06,1.14476e+06,60,60,1,0
1.14859e+06,1.14859e+06,60,60,1,0
1.14012e+06,1.14012e+06,60.0001,60.0001,1,0
1.15291e+06,1.15291e+06,60,60,1,0
1.15026e+06,1.15026e+06,60,60,1,0
1.1471e+06,1.1471e+06,60,60,1,0
1.13772e+06,1.13772e+06,60,60,1,0
1.14741e+06,1.14741e+06,60,60,1,0
1.11986e+06,1.11986e+06,60,60,1,0
1.1388e+06,1.1388e+06,60,60,1,0
1.14868e+06,1.14868e+06,60,60,1,0
1.1249e+06,1.1249e+06,60,60,1,0
1.12389e+06,1.12389e+06,60,60,1,0
1.13883e+06,1.13883e+06,60,60,1,0
1.15267e+06,1.15267e+06,60,60,1,0
1.14036e+06,1.14036e+06,60,60,1,0
1.12764e+06,1.12764e+06,60,60,1,0
1.12302e+06,1.12302e+06,60,60,1,0
1.13177e+06,1.13177e+06,60,60,1,0
1.13983e+06,1.13983e+06,60,60,1,0
1.14308e+06,1.14308e+06,60,60,1,0
1.1393e+06,1.1393e+06,60,60,1,0
1.13764e+06,1.13764e+06,60.0001,60.0001,1,0
1.12123e+06,1.12123e+06,60,60,1,0
