P: [ 0.779252, -0.160374 ]
K: [ 0.918879, -0.160374 ]
K: [ 0.639626, -0.160374 ]
K: [ 0.779252, -0.0207476 ]
K: [ 0.779252, -0.3 ]
P: [ 0.779252, 0.537757 ]
K: [ 0.918879, 0.537757 ]
K: [ 0.639626, 0.537757 ]
K: [ 0.779252, 0.677384 ]
K: [ 0.779252, 0.398131 ]
P: [ 0.918879, -0.579252 ]
K: [ 1.0585, -0.579252 ]
K: [ 0.779252, -0.579252 ]
K: [ 0.918879, -0.439626 ]
K: [ 0.918879, -0.718879 ]
P: [ 0.779252, 0.677384 ]
K: [ 0.918879, 0.677384 ]
K: [ 0.639626, 0.677384 ]
K: [ 0.779252, 0.81701 ]
K: [ 0.779252, 0.537757 ]
P: [ 1.19813, -0.998131 ]
K: [ 1.33776, -0.998131 ]
K: [ 1.0585, -0.998131 ]
K: [ 1.19813, -0.858505 ]
K: [ 1.19813, -1.13776 ]
P: [ 1.0585, -0.858505 ]
K: [ 1.19813, -0.858505 ]
K: [ 0.918879, -0.858505 ]
K: [ 1.0585, -0.718879 ]
K: [ 1.0585, -0.998131 ]
P: [ 0.779252, -0.439626 ]
K: [ 0.918879, -0.439626 ]
K: [ 0.639626, -0.439626 ]
K: [ 0.779252, -0.3 ]
K: [ 0.779252, -0.579252 ]
P: [ 0.779252, 0.81701 ]
K: [ 0.639626, 0.81701 ]
K: [ 0.779252, 0.956636 ]
K: [ 0.779252, 0.677384 ]
P: [ 1.33776, -1.13776 ]
K: [ 1.19813, -1.13776 ]
K: [ 1.33776, -0.998131 ]
K: [ 1.33776, -1.27738 ]
P: [ 0.918879, -0.718879 ]
K: [ 1.0585, -0.718879 ]
K: [ 0.779252, -0.718879 ]
K: [ 0.918879, -0.579252 ]
K: [ 0.918879, -0.858505 ]
P: [ 0.639626, -0.160374 ]
K: [ 0.779252, -0.160374 ]
K: [ 0.5, -0.160374 ]
K: [ 0.639626, -0.0207476 ]
K: [ 0.639626, -0.3 ]
P: [ 0.639626, -0.0207476 ]
K: [ 0.779252, -0.0207476 ]
K: [ 0.5, -0.0207476 ]
K: [ 0.639626, 0.118879 ]
K: [ 0.639626, -0.160374 ]
P: [ 0.639626, 0.118879 ]
K: [ 0.779252, 0.118879 ]
K: [ 0.5, 0.118879 ]
K: [ 0.639626, 0.258505 ]
K: [ 0.639626, -0.0207476 ]
P: [ 0.639626, 0.258505 ]
K: [ 0.779252, 0.258505 ]
K: [ 0.5, 0.258505 ]
K: [ 0.639626, 0.398131 ]
K: [ 0.639626, 0.118879 ]
P: [ 0.639626, 0.398131 ]
K: [ 0.779252, 0.398131 ]
K: [ 0.5, 0.398131 ]
K: [ 0.639626, 0.537757 ]
K: [ 0.639626, 0.258505 ]
P: [ 0.639626, 0.537757 ]
K: [ 0.779252, 0.537757 ]
K: [ 0.5, 0.537757 ]
K: [ 0.639626, 0.677384 ]
K: [ 0.639626, 0.398131 ]
P: [ 0.779252, 0.956636 ]
K: [ 0.639626, 0.956636 ]
K: [ 0.779252, 0.81701 ]
P: [ 0.779252, -0.579252 ]
K: [ 0.918879, -0.579252 ]
K: [ 0.639626, -0.579252 ]
K: [ 0.779252, -0.439626 ]
K: [ 0.779252, -0.718879 ]
P: [ 0.639626, 0.677384 ]
K: [ 0.779252, 0.677384 ]
K: [ 0.5, 0.677384 ]
K: [ 0.639626, 0.81701 ]
K: [ 0.639626, 0.537757 ]
P: [ 1.0585, -0.998131 ]
K: [ 1.19813, -0.998131 ]
K: [ 0.918879, -0.998131 ]
K: [ 1.0585, -0.858505 ]
K: [ 1.0585, -1.13776 ]
P: [ 1.19813, -1.13776 ]
K: [ 1.33776, -1.13776 ]
K: [ 1.0585, -1.13776 ]
K: [ 1.19813, -0.998131 ]
K: [ 1.19813, -1.27738 ]
P: [ 0.918879, -0.858505 ]
K: [ 1.0585, -0.858505 ]
K: [ 0.779252, -0.858505 ]
K: [ 0.918879, -0.718879 ]
K: [ 0.918879, -0.998131 ]
P: [ 0.639626, 0.81701 ]
K: [ 0.779252, 0.81701 ]
K: [ 0.5, 0.81701 ]
K: [ 0.639626, 0.956636 ]
K: [ 0.639626, 0.677384 ]
P: [ 1.33776, -1.27738 ]
K: [ 1.47738, -1.27738 ]
K: [ 1.19813, -1.27738 ]
K: [ 1.33776, -1.13776 ]
K: [ 1.33776, -1.41701 ]
P: [ 1.47738, -1.27738 ]
K: [ 1.33776, -1.27738 ]
K: [ 1.47738, -1.41701 ]
P: [ 0.639626, -0.439626 ]
K: [ 0.779252, -0.439626 ]
K: [ 0.5, -0.439626 ]
K: [ 0.639626, -0.3 ]
K: [ 0.639626, -0.579252 ]
P: [ 0.779252, -0.718879 ]
K: [ 0.918879, -0.718879 ]
K: [ 0.639626, -0.718879 ]
K: [ 0.779252, -0.579252 ]
K: [ 0.779252, -0.858505 ]
P: [ 0.639626, 0.956636 ]
K: [ 0.779252, 0.956636 ]
K: [ 0.5, 0.956636 ]
K: [ 0.639626, 1.09626 ]
K: [ 0.639626, 0.81701 ]
P: [ 0.5, 0.118879 ]
K: [ 0.639626, 0.118879 ]
K: [ 0.360374, 0.118879 ]
K: [ 0.5, 0.258505 ]
K: [ 0.5, -0.0207476 ]
P: [ 0.5, 0.258505 ]
K: [ 0.639626, 0.258505 ]
K: [ 0.360374, 0.258505 ]
K: [ 0.5, 0.398131 ]
K: [ 0.5, 0.118879 ]
P: [ 1.47738, -1.41701 ]
K: [ 1.61701, -1.41701 ]
K: [ 1.33776, -1.41701 ]
K: [ 1.47738, -1.27738 ]
K: [ 1.47738, -1.55664 ]
P: [ 1.61701, -1.41701 ]
K: [ 1.47738, -1.41701 ]
K: [ 1.61701, -1.55664 ]
P: [ 0.5, -0.0207476 ]
K: [ 0.639626, -0.0207476 ]
K: [ 0.360374, -0.0207476 ]
K: [ 0.5, 0.118879 ]
K: [ 0.5, -0.160374 ]
P: [ 0.5, -0.160374 ]
K: [ 0.639626, -0.160374 ]
K: [ 0.360374, -0.160374 ]
K: [ 0.5, -0.0207476 ]
K: [ 0.5, -0.3 ]
P: [ 0.5, 0.398131 ]
K: [ 0.639626, 0.398131 ]
K: [ 0.360374, 0.398131 ]
K: [ 0.5, 0.537757 ]
K: [ 0.5, 0.258505 ]
P: [ 0.639626, -0.579252 ]
K: [ 0.779252, -0.579252 ]
K: [ 0.5, -0.579252 ]
K: [ 0.639626, -0.439626 ]
K: [ 0.639626, -0.718879 ]
P: [ 1.0585, -1.13776 ]
K: [ 1.19813, -1.13776 ]
K: [ 0.918879, -1.13776 ]
K: [ 1.0585, -0.998131 ]
K: [ 1.0585, -1.27738 ]
P: [ 0.5, 0.537757 ]
K: [ 0.639626, 0.537757 ]
K: [ 0.360374, 0.537757 ]
K: [ 0.5, 0.677384 ]
K: [ 0.5, 0.398131 ]
P: [ 0.918879, -0.998131 ]
K: [ 1.0585, -0.998131 ]
K: [ 0.779252, -0.998131 ]
K: [ 0.918879, -0.858505 ]
K: [ 0.918879, -1.13776 ]
P: [ 1.19813, -1.27738 ]
K: [ 1.33776, -1.27738 ]
K: [ 1.0585, -1.27738 ]
K: [ 1.19813, -1.13776 ]
K: [ 1.19813, -1.41701 ]
P: [ 0.779252, -0.858505 ]
K: [ 0.918879, -0.858505 ]
K: [ 0.639626, -0.858505 ]
K: [ 0.779252, -0.718879 ]
K: [ 0.779252, -0.998131 ]
P: [ 0.639626, 1.09626 ]
K: [ 0.5, 1.09626 ]
K: [ 0.639626, 1.23589 ]
K: [ 0.639626, 0.956636 ]
P: [ 0.5, 0.677384 ]
K: [ 0.639626, 0.677384 ]
K: [ 0.360374, 0.677384 ]
K: [ 0.5, 0.81701 ]
K: [ 0.5, 0.537757 ]
P: [ 1.61701, -1.55664 ]
K: [ 1.47738, -1.55664 ]
K: [ 1.61701, -1.41701 ]
K: [ 1.61701, -1.69626 ]
P: [ 1.33776, -1.41701 ]
K: [ 1.47738, -1.41701 ]
K: [ 1.19813, -1.41701 ]
K: [ 1.33776, -1.27738 ]
K: [ 1.33776, -1.55664 ]
P: [ 0.5, -0.439626 ]
K: [ 0.639626, -0.439626 ]
K: [ 0.360374, -0.439626 ]
K: [ 0.5, -0.3 ]
K: [ 0.5, -0.579252 ]
P: [ 0.639626, -0.718879 ]
K: [ 0.779252, -0.718879 ]
K: [ 0.5, -0.718879 ]
K: [ 0.639626, -0.579252 ]
K: [ 0.639626, -0.858505 ]
P: [ 0.5, 0.81701 ]
K: [ 0.639626, 0.81701 ]
K: [ 0.360374, 0.81701 ]
K: [ 0.5, 0.956636 ]
K: [ 0.5, 0.677384 ]
P: [ 0.639626, 1.23589 ]
K: [ 0.5, 1.23589 ]
K: [ 0.639626, 1.09626 ]
P: [ 0.918879, -1.13776 ]
K: [ 1.0585, -1.13776 ]
K: [ 0.779252, -1.13776 ]
K: [ 0.918879, -0.998131 ]
K: [ 0.918879, -1.27738 ]
P: [ 1.47738, -1.55664 ]
K: [ 1.61701, -1.55664 ]
K: [ 1.33776, -1.55664 ]
K: [ 1.47738, -1.41701 ]
K: [ 1.47738, -1.69626 ]
P: [ 1.0585, -1.27738 ]
K: [ 1.19813, -1.27738 ]
K: [ 0.918879, -1.27738 ]
K: [ 1.0585, -1.13776 ]
K: [ 1.0585, -1.41701 ]
P: [ 0.779252, -0.998131 ]
K: [ 0.918879, -0.998131 ]
K: [ 0.639626, -0.998131 ]
K: [ 0.779252, -0.858505 ]
K: [ 0.779252, -1.13776 ]
P: [ 0.5, 0.956636 ]
K: [ 0.639626, 0.956636 ]
K: [ 0.360374, 0.956636 ]
K: [ 0.5, 1.09626 ]
K: [ 0.5, 0.81701 ]
P: [ 0.5, -0.579252 ]
K: [ 0.639626, -0.579252 ]
K: [ 0.360374, -0.579252 ]
K: [ 0.5, -0.439626 ]
K: [ 0.5, -0.718879 ]
P: [ 0.360374, 0.118879 ]
K: [ 0.5, 0.118879 ]
K: [ 0.220748, 0.118879 ]
K: [ 0.360374, 0.258505 ]
K: [ 0.360374, -0.0207476 ]
P: [ 0.360374, 0.258505 ]
K: [ 0.5, 0.258505 ]
K: [ 0.220748, 0.258505 ]
K: [ 0.360374, 0.398131 ]
K: [ 0.360374, 0.118879 ]
P: [ 0.360374, -0.160374 ]
K: [ 0.5, -0.160374 ]
K: [ 0.220748, -0.160374 ]
K: [ 0.360374, -0.0207476 ]
K: [ 0.360374, -0.3 ]
P: [ 0.360374, -0.0207476 ]
K: [ 0.5, -0.0207476 ]
K: [ 0.220748, -0.0207476 ]
K: [ 0.360374, 0.118879 ]
K: [ 0.360374, -0.160374 ]
P: [ 1.19813, -1.41701 ]
K: [ 1.33776, -1.41701 ]
K: [ 1.0585, -1.41701 ]
K: [ 1.19813, -1.27738 ]
K: [ 1.19813, -1.55664 ]
P: [ 0.360374, 0.398131 ]
K: [ 0.5, 0.398131 ]
K: [ 0.220748, 0.398131 ]
K: [ 0.360374, 0.537757 ]
K: [ 0.360374, 0.258505 ]
P: [ 0.639626, -0.858505 ]
K: [ 0.779252, -0.858505 ]
K: [ 0.5, -0.858505 ]
K: [ 0.639626, -0.718879 ]
K: [ 0.639626, -0.998131 ]
P: [ 0.360374, 0.537757 ]
K: [ 0.5, 0.537757 ]
K: [ 0.220748, 0.537757 ]
K: [ 0.360374, 0.677384 ]
K: [ 0.360374, 0.398131 ]
P: [ 0.360374, -0.3 ]
K: [ 0.5, -0.3 ]
K: [ 0.220748, -0.3 ]
K: [ 0.360374, -0.160374 ]
K: [ 0.360374, -0.439626 ]
P: [ 0.5, 1.09626 ]
K: [ 0.639626, 1.09626 ]
K: [ 0.360374, 1.09626 ]
K: [ 0.5, 1.23589 ]
K: [ 0.5, 0.956636 ]
P: [ 1.61701, -1.69626 ]
K: [ 1.75664, -1.69626 ]
K: [ 1.47738, -1.69626 ]
K: [ 1.61701, -1.55664 ]
K: [ 1.61701, -1.83589 ]
P: [ 1.75664, -1.69626 ]
K: [ 1.89626, -1.69626 ]
K: [ 1.61701, -1.69626 ]
K: [ 1.75664, -1.83589 ]
P: [ 1.89626, -1.69626 ]
K: [ 1.75664, -1.69626 ]
K: [ 1.89626, -1.83589 ]
P: [ 1.33776, -1.55664 ]
K: [ 1.47738, -1.55664 ]
K: [ 1.19813, -1.55664 ]
K: [ 1.33776, -1.41701 ]
K: [ 1.33776, -1.69626 ]
P: [ 0.360374, 0.677384 ]
K: [ 0.5, 0.677384 ]
K: [ 0.220748, 0.677384 ]
K: [ 0.360374, 0.81701 ]
K: [ 0.360374, 0.537757 ]
P: [ 0.5, -0.718879 ]
K: [ 0.639626, -0.718879 ]
K: [ 0.360374, -0.718879 ]
K: [ 0.5, -0.579252 ]
K: [ 0.5, -0.858505 ]
P: [ 0.360374, -0.439626 ]
K: [ 0.5, -0.439626 ]
K: [ 0.220748, -0.439626 ]
K: [ 0.360374, -0.3 ]
K: [ 0.360374, -0.579252 ]
P: [ 0.918879, -1.27738 ]
K: [ 1.0585, -1.27738 ]
K: [ 0.779252, -1.27738 ]
K: [ 0.918879, -1.13776 ]
K: [ 0.918879, -1.41701 ]
P: [ 0.779252, -1.13776 ]
K: [ 0.918879, -1.13776 ]
K: [ 0.639626, -1.13776 ]
K: [ 0.779252, -0.998131 ]
K: [ 0.779252, -1.27738 ]
P: [ 0.360374, 0.81701 ]
K: [ 0.5, 0.81701 ]
K: [ 0.220748, 0.81701 ]
K: [ 0.360374, 0.956636 ]
K: [ 0.360374, 0.677384 ]
P: [ 1.89626, -1.83589 ]
K: [ 2.03589, -1.83589 ]
K: [ 1.75664, -1.83589 ]
K: [ 1.89626, -1.69626 ]
K: [ 1.89626, -1.97551 ]
P: [ 2.03589, -1.83589 ]
K: [ 1.89626, -1.83589 ]
K: [ 2.03589, -1.97551 ]
P: [ 1.0585, -1.41701 ]
K: [ 1.19813, -1.41701 ]
K: [ 0.918879, -1.41701 ]
K: [ 1.0585, -1.27738 ]
K: [ 1.0585, -1.55664 ]
P: [ 0.639626, -0.998131 ]
K: [ 0.779252, -0.998131 ]
K: [ 0.5, -0.998131 ]
K: [ 0.639626, -0.858505 ]
K: [ 0.639626, -1.13776 ]
P: [ 0.5, 1.23589 ]
K: [ 0.639626, 1.23589 ]
K: [ 0.360374, 1.23589 ]
K: [ 0.5, 1.37551 ]
K: [ 0.5, 1.09626 ]
P: [ 1.47738, -1.69626 ]
K: [ 1.61701, -1.69626 ]
K: [ 1.33776, -1.69626 ]
K: [ 1.47738, -1.55664 ]
K: [ 1.47738, -1.83589 ]
P: [ 1.19813, -1.55664 ]
K: [ 1.33776, -1.55664 ]
K: [ 1.0585, -1.55664 ]
K: [ 1.19813, -1.41701 ]
K: [ 1.19813, -1.69626 ]
P: [ 0.5, -0.858505 ]
K: [ 0.639626, -0.858505 ]
K: [ 0.360374, -0.858505 ]
K: [ 0.5, -0.718879 ]
K: [ 0.5, -0.998131 ]
P: [ 0.360374, -0.579252 ]
K: [ 0.5, -0.579252 ]
K: [ 0.220748, -0.579252 ]
K: [ 0.360374, -0.439626 ]
K: [ 0.360374, -0.718879 ]
P: [ 0.360374, 0.956636 ]
K: [ 0.5, 0.956636 ]
K: [ 0.220748, 0.956636 ]
K: [ 0.360374, 1.09626 ]
K: [ 0.360374, 0.81701 ]
P: [ 1.75664, -1.83589 ]
K: [ 1.89626, -1.83589 ]
K: [ 1.61701, -1.83589 ]
K: [ 1.75664, -1.69626 ]
K: [ 1.75664, -1.97551 ]
P: [ 0.220748, -0.0207476 ]
K: [ 0.360374, -0.0207476 ]
K: [ 0.0811213, -0.0207476 ]
K: [ 0.220748, 0.118879 ]
K: [ 0.220748, -0.160374 ]
P: [ 0.220748, 0.118879 ]
K: [ 0.360374, 0.118879 ]
K: [ 0.0811213, 0.118879 ]
K: [ 0.220748, 0.258505 ]
K: [ 0.220748, -0.0207476 ]
P: [ 0.220748, 0.258505 ]
K: [ 0.360374, 0.258505 ]
K: [ 0.0811213, 0.258505 ]
K: [ 0.220748, 0.398131 ]
K: [ 0.220748, 0.118879 ]
P: [ 0.220748, 0.398131 ]
K: [ 0.360374, 0.398131 ]
K: [ 0.0811213, 0.398131 ]
K: [ 0.220748, 0.537757 ]
K: [ 0.220748, 0.258505 ]
P: [ 0.220748, -0.160374 ]
K: [ 0.360374, -0.160374 ]
K: [ 0.0811213, -0.160374 ]
K: [ 0.220748, -0.0207476 ]
K: [ 0.220748, -0.3 ]
P: [ 0.220748, 0.537757 ]
K: [ 0.360374, 0.537757 ]
K: [ 0.0811213, 0.537757 ]
K: [ 0.220748, 0.677384 ]
K: [ 0.220748, 0.398131 ]
P: [ 0.5, 1.37551 ]
K: [ 0.360374, 1.37551 ]
K: [ 0.5, 1.23589 ]
P: [ 0.220748, -0.3 ]
K: [ 0.360374, -0.3 ]
K: [ 0.0811213, -0.3 ]
K: [ 0.220748, -0.160374 ]
K: [ 0.220748, -0.439626 ]
P: [ 0.779252, -1.27738 ]
K: [ 0.918879, -1.27738 ]
K: [ 0.639626, -1.27738 ]
K: [ 0.779252, -1.13776 ]
K: [ 0.779252, -1.41701 ]
P: [ 1.33776, -1.69626 ]
K: [ 1.47738, -1.69626 ]
K: [ 1.19813, -1.69626 ]
K: [ 1.33776, -1.55664 ]
K: [ 1.33776, -1.83589 ]
P: [ 0.639626, -1.13776 ]
K: [ 0.779252, -1.13776 ]
K: [ 0.5, -1.13776 ]
K: [ 0.639626, -0.998131 ]
K: [ 0.639626, -1.27738 ]
P: [ 0.360374, 1.09626 ]
K: [ 0.5, 1.09626 ]
K: [ 0.220748, 1.09626 ]
K: [ 0.360374, 1.23589 ]
K: [ 0.360374, 0.956636 ]
P: [ 1.61701, -1.83589 ]
K: [ 1.75664, -1.83589 ]
K: [ 1.47738, -1.83589 ]
K: [ 1.61701, -1.69626 ]
K: [ 1.61701, -1.97551 ]
P: [ 0.918879, -1.41701 ]
K: [ 1.0585, -1.41701 ]
K: [ 0.779252, -1.41701 ]
K: [ 0.918879, -1.27738 ]
K: [ 0.918879, -1.55664 ]
P: [ 0.220748, 0.677384 ]
K: [ 0.360374, 0.677384 ]
K: [ 0.0811213, 0.677384 ]
K: [ 0.220748, 0.81701 ]
K: [ 0.220748, 0.537757 ]
P: [ 0.360374, -0.718879 ]
K: [ 0.5, -0.718879 ]
K: [ 0.220748, -0.718879 ]
K: [ 0.360374, -0.579252 ]
K: [ 0.360374, -0.858505 ]
P: [ 2.03589, -1.97551 ]
K: [ 2.17551, -1.97551 ]
K: [ 1.89626, -1.97551 ]
K: [ 2.03589, -1.83589 ]
K: [ 2.03589, -2.11514 ]
P: [ 2.17551, -1.97551 ]
K: [ 2.03589, -1.97551 ]
K: [ 2.17551, -2.11514 ]
P: [ 1.0585, -1.55664 ]
K: [ 1.19813, -1.55664 ]
K: [ 0.918879, -1.55664 ]
K: [ 1.0585, -1.41701 ]
K: [ 1.0585, -1.69626 ]
P: [ 0.5, -0.998131 ]
K: [ 0.639626, -0.998131 ]
K: [ 0.360374, -0.998131 ]
K: [ 0.5, -0.858505 ]
K: [ 0.5, -1.13776 ]
P: [ 0.220748, -0.439626 ]
K: [ 0.360374, -0.439626 ]
K: [ 0.0811213, -0.439626 ]
K: [ 0.220748, -0.3 ]
K: [ 0.220748, -0.579252 ]
P: [ 0.220748, 0.81701 ]
K: [ 0.360374, 0.81701 ]
K: [ 0.0811213, 0.81701 ]
K: [ 0.220748, 0.956636 ]
K: [ 0.220748, 0.677384 ]
P: [ 1.89626, -1.97551 ]
K: [ 2.03589, -1.97551 ]
K: [ 1.75664, -1.97551 ]
K: [ 1.89626, -1.83589 ]
K: [ 1.89626, -2.11514 ]
P: [ 1.47738, -1.83589 ]
K: [ 1.61701, -1.83589 ]
K: [ 1.33776, -1.83589 ]
K: [ 1.47738, -1.69626 ]
K: [ 1.47738, -1.97551 ]
P: [ 0.360374, 1.23589 ]
K: [ 0.5, 1.23589 ]
K: [ 0.220748, 1.23589 ]
K: [ 0.360374, 1.37551 ]
K: [ 0.360374, 1.09626 ]
P: [ 1.19813, -1.69626 ]
K: [ 1.33776, -1.69626 ]
K: [ 1.0585, -1.69626 ]
K: [ 1.19813, -1.55664 ]
K: [ 1.19813, -1.83589 ]
P: [ 0.220748, 0.956636 ]
K: [ 0.360374, 0.956636 ]
K: [ 0.0811213, 0.956636 ]
K: [ 0.220748, 1.09626 ]
K: [ 0.220748, 0.81701 ]
P: [ 0.360374, -0.858505 ]
K: [ 0.5, -0.858505 ]
K: [ 0.220748, -0.858505 ]
K: [ 0.360374, -0.718879 ]
K: [ 0.360374, -0.998131 ]
P: [ 0.220748, -0.579252 ]
K: [ 0.360374, -0.579252 ]
K: [ 0.0811213, -0.579252 ]
K: [ 0.220748, -0.439626 ]
