exp_init,exp_final,time_init,time_final,eps_final,path_len
87,652659,0.00565745,40,1,5.63855
87,648403,0.00480544,40,1,5.63855
87,646472,0.0103009,40,1,5.63855
87,645748,0.00494548,40,1,5.63855
87,646106,0.00508472,40,1,5.63855
87,649269,0.00481692,40,1,5.63855
87,647333,0.00616708,40,1,5.63855
87,647311,0.00478148,40,1,5.63855
87,650810,0.00482193,40,1,5.63855
87,638392,0.00507061,40,1,5.63855
87,644689,0.00494108,40,1,5.63855
87,653701,0.00481763,40,1,5.63855
87,649566,0.0049046,40,1,5.63855
87,639004,0.00500772,40,1,5.63855
87,650866,0.00484011,40,1,5.63855
87,646086,0.00482826,40,1,5.63855
87,651551,0.00499558,40.0001,1,5.63855
87,642310,0.00491465,40,1,5.63855
87,655100,0.00525026,40,1,5.63855
87,653502,0.00591785,40.0001,1,5.63855
87,647509,0.00488695,40,1,5.63855
87,650937,0.00488215,40.0001,1,5.63855
87,648403,0.00496693,40,1,5.63855
87,644905,0.00523784,40,1,5.63855
87,642495,0.00540003,40,1,5.63855
87,644122,0.00560773,40.0001,1,5.63855
87,645531,0.0049496,40,1,5.63855
87,642096,0.0049659,40,1,5.63855
87,644134,0.00600652,40,1,5.63855
87,640324,0.00853555,40,1,5.63855
87,644795,0.00501893,40.0001,1,5.63855
87,635760,0.00524502,40,1,5.63855
87,645490,0.00491604,40,1,5.63855
87,646140,0.00484549,40,1,5.63855
87,649596,0.00571294,40,1,5.63855
87,641588,0.00514206,40,1,5.63855
87,649416,0.00507358,40,1,5.63855
87,648495,0.0049094,40,1,5.63855
87,652188,0.00487921,40,1,5.63855
87,651993,0.00482928,40,1,5.63855
87,638832,0.00486911,40,1,5.63855
87,651486,0.00485857,40,1,5.63855
87,647826,0.0048803,40,1,5.63855
87,646988,0.00492902,40,1,5.63855
87,651191,0.00860405,40,1,5.63855
87,619336,0.00529933,40,1,5.63855
87,600945,0.00751929,40,1,5.63855
87,652354,0.00487574,40.0001,1,5.63855
87,647987,0.00516051,40,1,5.63855
87,646272,0.00490934,40,1,5.63855
87,642835,0.00534859,40,1,5.63855
87,648804,0.00500073,40,1,5.63855
87,632185,0.00497541,40,1,5.63855
87,645774,0.00512361,40,1,5.63855
87,643315,0.0057918,40,1,5.63855
87,646622,0.00510303,40,1,5.63855
87,643219,0.00526184,40,1,5.63855
87,645561,0.0052408,40,1,5.63855
87,542306,0.00548714,40,1,5.63855
87,622179,0.0049569,40,1,5.63855
87,579130,0.00557671,40.192,1,5.63855
87,574179,0.00548261,40,1,5.63855
87,581854,0.00628365,40.0001,1,5.63855
87,576995,0.00630325,40,1,5.63855
87,579131,0.00605696,40.1492,1,5.63855
87,597367,0.00560433,40,1,5.63855
87,551553,0.00610946,40.0001,1,5.63855
87,532099,0.0054091,40,1,5.63855
87,564438,0.00577795,40,1,5.63855
87,567206,0.00622937,40,1,5.63855
87,579131,0.00532362,40.1275,1,5.63855
87,575487,0.00533106,40,1,5.63855
87,590526,0.00492122,40,1,5.63855
87,601889,0.00520157,40.0001,1,5.63855
87,548794,0.00698569,40,1,5.63855
87,569855,0.00545812,40,1,5.63855
87,585115,0.00625883,40.0001,1,5.63855
87,570795,0.00591169,40,1,5.63855
87,587758,0.00494334,40.0001,1,5.63855
87,564032,0.00527834,40.0001,1,5.63855
87,594244,0.00622751,40.0001,1,5.63855
87,603089,0.00548532,40.0001,1,5.63855
87,582329,0.00522856,40,1,5.63855
87,579131,0.00528743,40.1849,1,5.63855
87,579131,0.00541746,40.2648,1,5.63855
87,577919,0.00653483,40,1,5.63855
87,551133,0.00559475,40.0001,1,5.63855
87,549604,0.00737362,40,1,5.63855
87,613384,0.00586393,40.0001,1,5.63855
87,592466,0.00543232,40,1,5.63855
87,565509,0.00561301,40,1,5.63855
87,580419,0.00508587,40,1,5.63855
87,579131,0.00515968,40.2286,1,5.63855
87,599535,0.00550556,40,1,5.63855
87,579131,0.00510651,40.1111,1,5.63855
87,586284,0.0060776,40,1,5.63855
87,581078,0.00504684,40,1,5.63855
87,586788,0.00713063,40.0001,1,5.63855
87,579131,0.00564865,40.0169,1,5.63855
87,579321,0.00523969,40,1,5.63855
