exp_init,exp_final,time_init,time_final,eps_final,path_len
64,483034,0.00396493,40.0001,1,5.61745
64,482346,0.00402036,40,1,5.61745
64,484086,0.00388248,40.0001,1,5.61745
64,483203,0.00401213,40,1,5.61745
64,486718,0.00401979,40,1,5.61745
64,485108,0.00384563,40,1,5.61745
64,487294,0.00398878,40,1,5.61745
64,480739,0.00402364,40.0001,1,5.61745
64,487750,0.00394449,40.0001,1,5.61745
64,488020,0.00392711,40,1,5.61745
64,486480,0.00397243,40,1,5.61745
64,488712,0.00421691,40.0001,1,5.61745
64,479987,0.0038894,40,1,5.61745
64,486650,0.00397035,40.0001,1,5.61745
64,481998,0.00410946,40,1,5.61745
64,486958,0.00397815,40,1,5.61745
64,484526,0.00395482,40.0001,1,5.61745
64,481925,0.0039469,40,1,5.61745
64,485757,0.00400276,40,1,5.61745
64,487153,0.00383511,40,1,5.61745
64,484626,0.00532435,40,1,5.61745
64,475914,0.00415894,40,1,5.61745
64,483599,0.00434887,40,1,5.61745
64,486232,0.00425129,40.0001,1,5.61745
64,488083,0.00433047,40.0001,1,5.61745
64,485751,0.00398095,40,1,5.61745
64,484246,0.00422368,40,1,5.61745
64,483638,0.00412581,40,1,5.61745
64,483158,0.00461518,40,1,5.61745
64,483989,0.00397186,40,1,5.61745
64,486201,0.00399492,40,1,5.61745
64,487231,0.00398154,40.0001,1,5.61745
64,484708,0.00398846,40,1,5.61745
64,485703,0.00420078,40,1,5.61745
64,485391,0.00417073,40.0001,1,5.61745
64,484335,0.00418122,40,1,5.61745
64,483706,0.00404408,40.0001,1,5.61745
64,488180,0.00417309,40.0001,1,5.61745
64,484500,0.00402297,40.0002,1,5.61745
64,487178,0.00409663,40.0001,1,5.61745
64,483199,0.00384159,40,1,5.61745
64,484444,0.00404013,40,1,5.61745
64,485923,0.00408192,40.0001,1,5.61745
64,486769,0.00402722,40,1,5.61745
64,481910,0.00403741,40,1,5.61745
64,480178,0.00387697,40.0001,1,5.61745
64,485851,0.00400349,40.0001,1,5.61745
64,485508,0.00427852,40.0001,1,5.61745
64,457787,0.00465922,40.0001,1,5.61745
64,484697,0.00428601,40,1,5.61745
64,479692,0.00394294,40,1,5.61745
64,484101,0.00417248,40.0001,1,5.61745
64,481404,0.00410265,40,1,5.61745
64,432156,0.00419178,40,1,5.61745
64,454019,0.00450927,40.0001,1,5.61745
64,422274,0.00443988,40,1,5.61745
64,462421,0.00508802,40,1,5.61745
64,480832,0.00404385,40,1,5.61745
64,474220,0.00413032,40.0001,1,5.61745
64,482978,0.0040648,40.0001,1,5.61745
64,473715,0.00416618,40.0001,1,5.61745
64,484648,0.0039667,40.0001,1,5.61745
64,487147,0.00404643,40,1,5.61745
64,486268,0.00395072,40.0001,1,5.61745
64,486030,0.00394387,40.0001,1,5.61745
64,475880,0.00417057,40,1,5.61745
64,485733,0.00403603,40.0001,1,5.61745
64,484401,0.00393084,40,1,5.61745
64,486693,0.00400545,40.0001,1,5.61745
64,486183,0.00398231,40,1,5.61745
64,483186,0.00390792,40,1,5.61745
64,486827,0.00399734,40.0001,1,5.61745
64,485214,0.00396235,40.0002,1,5.61745
64,487325,0.00388442,40.0001,1,5.61745
64,483155,0.00393863,40,1,5.61745
64,479042,0.00385544,40,1,5.61745
64,480881,0.00405999,40.0001,1,5.61745
64,485987,0.00396174,40,1,5.61745
64,484019,0.00469964,40.0001,1,5.61745
64,484798,0.00402571,40.0001,1,5.61745
64,481604,0.00395336,40,1,5.61745
64,485966,0.00397311,40.0001,1,5.61745
64,484117,0.00398284,40.0001,1,5.61745
64,486491,0.00400858,40,1,5.61745
64,481483,0.00405295,40.0001,1,5.61745
64,485524,0.00392392,40,1,5.61745
64,488172,0.00393039,40.0001,1,5.61745
64,482314,0.00397367,40,1,5.61745
64,483380,0.00383552,40.0001,1,5.61745
64,483960,0.00394726,40,1,5.61745
64,485197,0.00409611,40,1,5.61745
64,485416,0.00443257,40.0002,1,5.61745
64,483936,0.00392528,40.0001,1,5.61745
64,486978,0.003972,40,1,5.61745
64,484952,0.0038857,40,1,5.61745
64,485871,0.00410326,40.0001,1,5.61745
64,483798,0.00397619,40.0002,1,5.61745
64,485397,0.00421611,40,1,5.61745
64,485099,0.0054353,40,1,5.61745
64,485265,0.00409532,40.0001,1,5.61745
