exp_init,exp_final,time_init,time_final,eps_final,path_len
1.09553e+06,1.09553e+06,60,60,1,0
1.09622e+06,1.09622e+06,60,60,1,0
1.10125e+06,1.10125e+06,60,60,1,0
1.0968e+06,1.0968e+06,60,60,1,0
1.10384e+06,1.10384e+06,60,60,1,0
1.09021e+06,1.09021e+06,60,60,1,0
1.09971e+06,1.09971e+06,60,60,1,0
1.10755e+06,1.10755e+06,60,60,1,0
1.08245e+06,1.08245e+06,60.0001,60.0001,1,0
1.09975e+06,1.09975e+06,60,60,1,0
1.11108e+06,1.11108e+06,60,60,1,0
1.09872e+06,1.09872e+06,60,60,1,0
1.09955e+06,1.09955e+06,60,60,1,0
1.095e+06,1.095e+06,60,60,1,0
1.10322e+06,1.10322e+06,60.0243,60.0243,1,0
1.09964e+06,1.09964e+06,60,60,1,0
1.0907e+06,1.0907e+06,60,60,1,0
1.09151e+06,1.09151e+06,60,60,1,0
1.09434e+06,1.09434e+06,60,60,1,0
1.10205e+06,1.10205e+06,60,60,1,0
1.09681e+06,1.09681e+06,60,60,1,0
1.10792e+06,1.10792e+06,60.0001,60.0001,1,0
1.09635e+06,1.09635e+06,60,60,1,0
1.09209e+06,1.09209e+06,60,60,1,0
1.10969e+06,1.10969e+06,60,60,1,0
1.10037e+06,1.10037e+06,60,60,1,0
1.09939e+06,1.09939e+06,60,60,1,0
1.0897e+06,1.0897e+06,60,60,1,0
1.1033e+06,1.1033e+06,60,60,1,0
1.08821e+06,1.08821e+06,60,60,1,0
1.10369e+06,1.10369e+06,60,60,1,0
1.08537e+06,1.08537e+06,60,60,1,0
1.09696e+06,1.09696e+06,60,60,1,0
1.10296e+06,1.10296e+06,60,60,1,0
1.10798e+06,1.10798e+06,60,60,1,0
1.08494e+06,1.08494e+06,60,60,1,0
1.10528e+06,1.10528e+06,60,60,1,0
1.09673e+06,1.09673e+06,60,60,1,0
1.09252e+06,1.09252e+06,60,60,1,0
1.10747e+06,1.10747e+06,60,60,1,0
1.10035e+06,1.10035e+06,60,60,1,0
1.10352e+06,1.10352e+06,60,60,1,0
1.08291e+06,1.08291e+06,60,60,1,0
1.05117e+06,1.05117e+06,60,60,1,0
1.06328e+06,1.06328e+06,60,60,1,0
1.0991e+06,1.0991e+06,60,60,1,0
1.09885e+06,1.09885e+06,60,60,1,0
1.10009e+06,1.10009e+06,60,60,1,0
1.0979e+06,1.0979e+06,60,60,1,0
1.10322e+06,1.10322e+06,60.028,60.028,1,0
1.09879e+06,1.09879e+06,60,60,1,0
1.0874e+06,1.0874e+06,60,60,1,0
1.10498e+06,1.10498e+06,60,60,1,0
1.09744e+06,1.09744e+06,60,60,1,0
1.10322e+06,1.10322e+06,60.0135,60.0135,1,0
1.09824e+06,1.09824e+06,60,60,1,0
1.09212e+06,1.09212e+06,60,60,1,0
1.10186e+06,1.10186e+06,60,60,1,0
1.10494e+06,1.10494e+06,60,60,1,0
1.10537e+06,1.10537e+06,60,60,1,0
1.10151e+06,1.10151e+06,60,60,1,0
1.09409e+06,1.09409e+06,60,60,1,0
1.07839e+06,1.07839e+06,60,60,1,0
1.0989e+06,1.0989e+06,60,60,1,0
1.0875e+06,1.0875e+06,60,60,1,0
1.09185e+06,1.09185e+06,60,60,1,0
1.10616e+06,1.10616e+06,60,60,1,0
1.09218e+06,1.09218e+06,60.0001,60.0001,1,0
1.09581e+06,1.09581e+06,60,60,1,0
1.09466e+06,1.09466e+06,60,60,1,0
1.11074e+06,1.11074e+06,60,60,1,0
1.09685e+06,1.09685e+06,60,60,1,0
1.10371e+06,1.10371e+06,60,60,1,0
1.10142e+06,1.10142e+06,60,60,1,0
1.10007e+06,1.10007e+06,60.0001,60.0001,1,0
1.10206e+06,1.10206e+06,60,60,1,0
1.09451e+06,1.09451e+06,60,60,1,0
1.10518e+06,1.10518e+06,60,60,1,0
1.10072e+06,1.10072e+06,60.0001,60.0001,1,0
1.08491e+06,1.08491e+06,60,60,1,0
1.10322e+06,1.10322e+06,60.0027,60.0027,1,0
1.09641e+06,1.09641e+06,60,60,1,0
1.09457e+06,1.09457e+06,60,60,1,0
1.08957e+06,1.08957e+06,60,60,1,0
1.09501e+06,1.09501e+06,60,60,1,0
1.11288e+06,1.11288e+06,60,60,1,0
1.0996e+06,1.0996e+06,60,60,1,0
1.08931e+06,1.08931e+06,60,60,1,0
1.08272e+06,1.08272e+06,60,60,1,0
1.06371e+06,1.06371e+06,60,60,1,0
966825,966825,60,60,1,0
1.09607e+06,1.09607e+06,60.0001,60.0001,1,0
1.09806e+06,1.09806e+06,60,60,1,0
1.09564e+06,1.09564e+06,60.0001,60.0001,1,0
1.10926e+06,1.10926e+06,60,60,1,0
1.09716e+06,1.09716e+06,60,60,1,0
1.11293e+06,1.11293e+06,60,60,1,0
1.10079e+06,1.10079e+06,60,60,1,0
1.0984e+06,1.0984e+06,60,60,1,0
1.09835e+06,1.09835e+06,60,60,1,0
