exp_init,exp_final,time_init,time_final,eps_final,path_len
1.14122e+06,1.14122e+06,60.1404,60.1404,1,0
1.14384e+06,1.14384e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.0039,60.0039,1,0
1.14122e+06,1.14122e+06,60.1443,60.1443,1,0
1.14364e+06,1.14364e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.6105,60.6105,1,0
1.14122e+06,1.14122e+06,60.3933,60.3933,1,0
1.14143e+06,1.14143e+06,60.0001,60.0001,1,0
1.14122e+06,1.14122e+06,60.1749,60.1749,1,0
1.14122e+06,1.14122e+06,60.3373,60.3373,1,0
1.14122e+06,1.14122e+06,60.3249,60.3249,1,0
1.14122e+06,1.14122e+06,60.3183,60.3183,1,0
1.14346e+06,1.14346e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.5277,60.5277,1,0
1.14122e+06,1.14122e+06,60.1077,60.1077,1,0
1.14122e+06,1.14122e+06,60.1858,60.1858,1,0
1.14122e+06,1.14122e+06,60.1043,60.1043,1,0
1.14122e+06,1.14122e+06,60.2841,60.2841,1,0
1.14306e+06,1.14306e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.042,60.042,1,0
1.14122e+06,1.14122e+06,60.042,60.042,1,0
1.14122e+06,1.14122e+06,60.4924,60.4924,1,0
1.14122e+06,1.14122e+06,60.3585,60.3585,1,0
1.14122e+06,1.14122e+06,60.1062,60.1062,1,0
1.14122e+06,1.14122e+06,60.1712,60.1712,1,0
1.14757e+06,1.14757e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.2715,60.2715,1,0
1.1434e+06,1.1434e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.4695,60.4695,1,0
1.14122e+06,1.14122e+06,60.0948,60.0948,1,0
1.14118e+06,1.14118e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.1083,60.1083,1,0
1.14976e+06,1.14976e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.5237,60.5237,1,0
1.14539e+06,1.14539e+06,60,60,1,0
1.14318e+06,1.14318e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.1633,60.1633,1,0
1.14403e+06,1.14403e+06,60,60,1,0
1.14122e+06,1.14122e+06,60.2574,60.2574,1,0
1.14122e+06,1.14122e+06,60.0555,60.0555,1,0
1.14299e+06,1.14299e+06,60,60,1,0
1.14605e+06,1.14605e+06,60,60,1,0
1.14258e+06,1.14258e+06,60,60,1,0
