exp_init,exp_final,time_init,time_final,eps_final,path_len
140061,632009,8.76408,40.0001,1,10.337
140061,639198,8.63558,40,1,10.337
140061,638862,8.67044,40,1,10.337
140061,636036,8.71297,40,1,10.337
140061,642131,8.61861,40,1,10.337
140061,638692,8.67823,40,1,10.337
140061,638000,8.68731,40,1,10.337
140061,641205,8.63406,40,1,10.337
140061,638034,8.67739,40,1,10.337
140061,642854,8.59563,40,1,10.337
140061,638759,8.65505,40,1,10.337
140061,643570,8.58763,40,1,10.337
140061,630678,8.77357,40,1,10.337
140061,641868,8.61271,40,1,10.337
140061,637915,8.68059,40,1,10.337
140061,641903,8.60154,40,1,10.337
140061,640967,8.63938,40.0001,1,10.337
140061,635928,8.70911,40,1,10.337
140061,634186,8.75259,40,1,10.337
140061,636364,8.69023,40,1,10.337
140061,642213,8.5977,40,1,10.337
140061,637036,8.65479,40.0001,1,10.337
140061,637598,8.67609,40,1,10.337
140061,636737,8.72841,40.0001,1,10.337
140061,640163,8.65065,40,1,10.337
140061,642257,8.62851,40,1,10.337
140061,640987,8.63328,40.0001,1,10.337
140061,638547,8.68035,40,1,10.337
140061,637382,8.66442,40.0001,1,10.337
140061,634937,8.72567,40,1,10.337
140061,636307,8.69556,40,1,10.337
140061,642087,8.60609,40,1,10.337
140061,636940,8.6965,40,1,10.337
140061,634892,8.70429,40.0001,1,10.337
140061,633859,8.74845,40,1,10.337
140061,628279,8.81953,40,1,10.337
140061,639585,8.65201,40,1,10.337
140061,642053,8.6046,40,1,10.337
140061,638936,8.65795,40.0001,1,10.337
140061,638693,8.64307,40,1,10.337
140061,637098,8.67511,40,1,10.337
140061,640260,8.64106,40,1,10.337
140061,638288,8.66975,40,1,10.337
140061,635424,8.73286,40,1,10.337
140061,634944,8.73747,40,1,10.337
140061,641821,8.61526,40,1,10.337
140061,638414,8.67718,40,1,10.337
140061,639042,8.66079,40,1,10.337
140061,638586,8.63494,40,1,10.337
140061,638250,8.66466,40,1,10.337
140061,631465,8.78423,40.0001,1,10.337
140061,630069,8.78416,40,1,10.337
140061,635103,8.7137,40,1,10.337
140061,640594,8.63916,40.0001,1,10.337
140061,640920,8.60924,40,1,10.337
140061,637429,8.69113,40,1,10.337
140061,636714,8.69163,40,1,10.337
140061,634688,8.70578,40,1,10.337
140061,636162,8.68139,40,1,10.337
140061,637165,8.6627,40,1,10.337
140061,637858,8.6512,40,1,10.337
140061,632822,8.75747,40.0001,1,10.337
140061,637685,8.66213,40.0001,1,10.337
140061,633443,8.74213,40,1,10.337
140061,636744,8.68386,40,1,10.337
140061,639852,8.64194,40,1,10.337
140061,635290,8.68438,40,1,10.337
140061,638314,8.66839,40,1,10.337
140061,640947,8.62428,40,1,10.337
140061,637162,8.68377,40,1,10.337
140061,638618,8.62696,40.0001,1,10.337
140061,637013,8.68535,40.0001,1,10.337
140061,635092,8.72416,40.0001,1,10.337
140061,640789,8.66703,40,1,10.337
140061,641882,8.6039,40,1,10.337
140061,643968,8.58792,40,1,10.337
140061,635509,8.73164,40,1,10.337
140061,640486,8.63103,40.0001,1,10.337
140061,634585,8.75786,40,1,10.337
140061,638154,8.66062,40,1,10.337
140061,628510,8.80909,40,1,10.337
140061,638531,8.68485,40.0001,1,10.337
140061,638897,8.62067,40,1,10.337
140061,638185,8.66946,40,1,10.337
140061,638792,8.67563,40.0001,1,10.337
140061,642183,8.62741,40,1,10.337
140061,640061,8.63668,40,1,10.337
140061,638212,8.67162,40.0001,1,10.337
140061,638155,8.65169,40.0001,1,10.337
140061,637488,8.69346,40,1,10.337
140061,642433,8.60452,40,1,10.337
140061,640024,8.64611,40,1,10.337
140061,641332,8.59652,40.0001,1,10.337
140061,634626,8.72897,40.0001,1,10.337
140061,641422,8.61683,40.0001,1,10.337
140061,638106,8.70153,40,1,10.337
140061,642539,8.61671,40,1,10.337
140061,637911,8.64867,40,1,10.337
140061,639874,8.64719,40,1,10.337
140061,641114,8.61078,40,1,10.337
