exp_init,exp_final,time_init,time_final,eps_final,path_len
90120,653580,5.67933,40,1,9.27638
90120,651021,5.69194,40,1,9.27638
90120,651573,5.68602,40,1,9.27638
90120,652227,5.69556,40.0001,1,9.27638
90120,647204,5.75422,40.0001,1,9.27638
90120,649689,5.72089,40.0001,1,9.27638
90120,655176,5.65523,40,1,9.27638
90120,643555,5.76889,40,1,9.27638
90120,646733,5.73462,40,1,9.27638
90120,648546,5.71792,40.0001,1,9.27638
90120,641141,5.77133,40,1,9.27638
90120,648547,5.71623,40,1,9.27638
90120,649473,5.71525,40,1,9.27638
90120,649776,5.70242,40,1,9.27638
90120,647689,5.73639,40,1,9.27638
90120,645873,5.73517,40,1,9.27638
90120,649604,5.69998,40.0001,1,9.27638
90120,624633,5.97749,40,1,9.27638
90120,648664,5.72765,40,1,9.27638
90120,650042,5.70954,40,1,9.27638
90120,573222,6.54899,40,1,9.27638
90120,644474,5.69511,40,1,9.27638
90120,647683,5.73785,40,1,9.27638
90120,645983,5.73158,40,1,9.27638
90120,621480,6.0104,40,1,9.27638
90120,649635,5.70717,40,1,9.27638
90120,652559,5.68289,40,1,9.27638
90120,649437,5.70676,40,1,9.27638
90120,641242,5.7954,40,1,9.27638
90120,648643,5.67892,40,1,9.27638
90120,648868,5.70624,40,1,9.27638
90120,644488,5.76092,40,1,9.27638
90120,648097,5.73163,40,1,9.27638
90120,648296,5.72987,40.0001,1,9.27638
90120,646748,5.7358,40,1,9.27638
90120,645952,5.74081,40,1,9.27638
90120,649155,5.69985,40,1,9.27638
90120,645481,5.7341,40,1,9.27638
90120,653995,5.654,40,1,9.27638
90120,651491,5.67916,40,1,9.27638
90120,647364,5.70962,40,1,9.27638
90120,649624,5.70262,40,1,9.27638
90120,651040,5.69794,40.0001,1,9.27638
90120,649220,5.71337,40,1,9.27638
90120,651264,5.69083,40,1,9.27638
90120,638219,5.79165,40,1,9.27638
90120,651124,5.69446,40,1,9.27638
90120,650509,5.68951,40,1,9.27638
90120,648508,5.70928,40.0001,1,9.27638
90120,651140,5.70006,40,1,9.27638
90120,651598,5.69808,40,1,9.27638
90120,644677,5.75954,40,1,9.27638
90120,648325,5.71067,40.0001,1,9.27638
90120,650043,5.7099,40,1,9.27638
90120,651370,5.69552,40.0001,1,9.27638
90120,648509,5.69393,40.0001,1,9.27638
90120,649936,5.71042,40,1,9.27638
90120,650658,5.69582,40,1,9.27638
90120,643727,5.73517,40,1,9.27638
90120,649854,5.69332,40,1,9.27638
90120,645981,5.74261,40.0001,1,9.27638
90120,651560,5.65556,40,1,9.27638
90120,646119,5.72581,40,1,9.27638
90120,653695,5.64638,40.0001,1,9.27638
90120,646423,5.73733,40,1,9.27638
90120,649557,5.69277,40.0001,1,9.27638
90120,653900,5.65476,40,1,9.27638
90120,652074,5.69161,40,1,9.27638
90120,651843,5.70571,40,1,9.27638
90120,656150,5.63935,40.0001,1,9.27638
90120,650623,5.68941,40,1,9.27638
90120,643465,5.76591,40,1,9.27638
90120,638638,5.80251,40,1,9.27638
90120,643429,5.79212,40,1,9.27638
90120,646054,5.74298,40,1,9.27638
90120,639319,5.83528,40,1,9.27638
90120,649935,5.68937,40,1,9.27638
90120,649039,5.70423,40,1,9.27638
90120,652804,5.6821,40,1,9.27638
90120,650933,5.69041,40,1,9.27638
90120,647963,5.71827,40.0001,1,9.27638
90120,653177,5.67831,40,1,9.27638
90120,651757,5.68335,40,1,9.27638
90120,648774,5.71108,40.0001,1,9.27638
90120,550730,6.70858,40.0001,1,9.27638
90120,654450,5.65999,40,1,9.27638
90120,648994,5.72034,40,1,9.27638
90120,646813,5.85734,40.0001,1,9.27638
90120,641800,5.79335,40,1,9.27638
90120,647990,5.74263,40,1,9.27638
90120,654365,5.66296,40,1,9.27638
90120,647052,5.7337,40,1,9.27638
90120,647663,5.75321,40,1,9.27638
90120,641316,5.76956,40,1,9.27638
90120,648681,5.72293,40,1,9.27638
90120,649925,5.70592,40.0001,1,9.27638
90120,648618,5.74503,40,1,9.27638
90120,650098,5.69905,40,1,9.27638
90120,649283,5.70992,40,1,9.27638
90120,650906,5.68434,40,1,9.27638
