exp_init,exp_final,time_init,time_final,eps_final,path_len
1.11713e+06,1.11713e+06,60,60,1,0
1.11425e+06,1.11425e+06,60.0001,60.0001,1,0
1.11551e+06,1.11551e+06,60,60,1,0
1.10978e+06,1.10978e+06,60,60,1,0
1.11041e+06,1.11041e+06,60,60,1,0
1.11402e+06,1.11402e+06,60,60,1,0
1.11682e+06,1.11682e+06,60,60,1,0
1.11302e+06,1.11302e+06,60,60,1,0
1.11487e+06,1.11487e+06,60,60,1,0
1.09884e+06,1.09884e+06,60,60,1,0
1.10554e+06,1.10554e+06,60,60,1,0
1.11081e+06,1.11081e+06,60,60,1,0
1.09311e+06,1.09311e+06,60.0001,60.0001,1,0
1.11887e+06,1.11887e+06,60,60,1,0
1.11446e+06,1.11446e+06,60,60,1,0
1.12235e+06,1.12235e+06,60,60,1,0
1.12164e+06,1.12164e+06,60,60,1,0
1.11107e+06,1.11107e+06,60,60,1,0
1.11862e+06,1.11862e+06,60.0001,60.0001,1,0
1.11607e+06,1.11607e+06,60.0001,60.0001,1,0
1.11373e+06,1.11373e+06,60,60,1,0
1.11148e+06,1.11148e+06,60,60,1,0
1.11182e+06,1.11182e+06,60,60,1,0
1.10672e+06,1.10672e+06,60,60,1,0
1.11599e+06,1.11599e+06,60,60,1,0
1.1179e+06,1.1179e+06,60,60,1,0
1.11777e+06,1.11777e+06,60,60,1,0
1.1142e+06,1.1142e+06,60,60,1,0
1.10535e+06,1.10535e+06,60,60,1,0
1.11798e+06,1.11798e+06,60,60,1,0
1.11502e+06,1.11502e+06,60,60,1,0
1.11188e+06,1.11188e+06,60,60,1,0
1.11331e+06,1.11331e+06,60,60,1,0
1.12402e+06,1.12402e+06,60,60,1,0
1.10681e+06,1.10681e+06,60,60,1,0
1.11612e+06,1.11612e+06,60,60,1,0
1.11433e+06,1.11433e+06,60,60,1,0
1.12156e+06,1.12156e+06,60,60,1,0
1.10973e+06,1.10973e+06,60,60,1,0
1.11835e+06,1.11835e+06,60,60,1,0
1.11587e+06,1.11587e+06,60,60,1,0
1.12241e+06,1.12241e+06,60,60,1,0
1.11584e+06,1.11584e+06,60,60,1,0
1.11155e+06,1.11155e+06,60,60,1,0
1.11062e+06,1.11062e+06,60,60,1,0
1.11473e+06,1.11473e+06,60.0001,60.0001,1,0
1.11776e+06,1.11776e+06,60,60,1,0
1.11774e+06,1.11774e+06,60,60,1,0
1.11527e+06,1.11527e+06,60,60,1,0
1.12328e+06,1.12328e+06,60,60,1,0
1.11704e+06,1.11704e+06,60,60,1,0
1.11227e+06,1.11227e+06,60,60,1,0
1.11075e+06,1.11075e+06,60,60,1,0
1.11537e+06,1.11537e+06,60,60,1,0
1.11821e+06,1.11821e+06,60,60,1,0
1.11447e+06,1.11447e+06,60,60,1,0
1.11254e+06,1.11254e+06,60,60,1,0
1.11748e+06,1.11748e+06,60,60,1,0
1.12027e+06,1.12027e+06,60,60,1,0
1.11946e+06,1.11946e+06,60,60,1,0
1.11322e+06,1.11322e+06,60,60,1,0
1.10953e+06,1.10953e+06,60,60,1,0
1.11041e+06,1.11041e+06,60,60,1,0
1.11555e+06,1.11555e+06,60.0001,60.0001,1,0
1.11495e+06,1.11495e+06,60,60,1,0
1.11165e+06,1.11165e+06,60,60,1,0
1.11207e+06,1.11207e+06,60,60,1,0
1.11845e+06,1.11845e+06,60,60,1,0
1.1181e+06,1.1181e+06,60,60,1,0
1.11812e+06,1.11812e+06,60,60,1,0
1.11666e+06,1.11666e+06,60,60,1,0
1.11597e+06,1.11597e+06,60,60,1,0
1.07356e+06,1.07356e+06,60,60,1,0
1.04127e+06,1.04127e+06,60,60,1,0
1.10278e+06,1.10278e+06,60,60,1,0
1.09893e+06,1.09893e+06,60,60,1,0
1.11877e+06,1.11877e+06,60,60,1,0
1.10977e+06,1.10977e+06,60,60,1,0
1.10353e+06,1.10353e+06,60,60,1,0
1.10413e+06,1.10413e+06,60,60,1,0
1.10235e+06,1.10235e+06,60,60,1,0
1.10938e+06,1.10938e+06,60,60,1,0
1.11521e+06,1.11521e+06,60,60,1,0
1.10464e+06,1.10464e+06,60,60,1,0
1.10582e+06,1.10582e+06,60,60,1,0
1.11509e+06,1.11509e+06,60,60,1,0
1.10645e+06,1.10645e+06,60,60,1,0
1.11662e+06,1.11662e+06,60,60,1,0
1.10999e+06,1.10999e+06,60,60,1,0
1.10048e+06,1.10048e+06,60,60,1,0
1.09799e+06,1.09799e+06,60,60,1,0
1.10538e+06,1.10538e+06,60,60,1,0
1.10968e+06,1.10968e+06,60,60,1,0
1.11172e+06,1.11172e+06,60,60,1,0
1.11056e+06,1.11056e+06,60,60,1,0
1.11486e+06,1.11486e+06,60,60,1,0
1.1089e+06,1.1089e+06,60,60,1,0
1.11914e+06,1.11914e+06,60.0001,60.0001,1,0
1.10652e+06,1.10652e+06,60,60,1,0
1.09952e+06,1.09952e+06,60,60,1,0
