exp_init,exp_final,time_init,time_final,eps_final,path_len
1.04138e+06,1.04138e+06,60,60,1,0
1.03608e+06,1.03608e+06,60,60,1,0
1.03674e+06,1.03674e+06,60,60,1,0
1.03562e+06,1.03562e+06,60,60,1,0
1.02214e+06,1.02214e+06,60,60,1,0
1.02852e+06,1.02852e+06,60.0001,60.0001,1,0
1.03881e+06,1.03881e+06,60,60,1,0
1.03407e+06,1.03407e+06,60.0001,60.0001,1,0
1.04964e+06,1.04964e+06,60,60,1,0
1.04202e+06,1.04202e+06,60,60,1,0
1.03203e+06,1.03203e+06,60,60,1,0
1.0361e+06,1.0361e+06,60,60,1,0
1.04576e+06,1.04576e+06,60,60,1,0
1.04286e+06,1.04286e+06,60,60,1,0
1.0344e+06,1.0344e+06,60,60,1,0
1.02953e+06,1.02953e+06,60,60,1,0
1.03834e+06,1.03834e+06,60,60,1,0
1.0364e+06,1.0364e+06,60,60,1,0
1.03277e+06,1.03277e+06,60,60,1,0
1.02459e+06,1.02459e+06,60,60,1,0
1.04253e+06,1.04253e+06,60,60,1,0
1.02972e+06,1.02972e+06,60.0001,60.0001,1,0
1.02416e+06,1.02416e+06,60,60,1,0
1.03485e+06,1.03485e+06,60,60,1,0
1.04497e+06,1.04497e+06,60.0001,60.0001,1,0
1.04244e+06,1.04244e+06,60,60,1,0
1.03564e+06,1.03564e+06,60,60,1,0
1.03671e+06,1.03671e+06,60,60,1,0
1.03196e+06,1.03196e+06,60.0001,60.0001,1,0
1.03159e+06,1.03159e+06,60,60,1,0
1.03571e+06,1.03571e+06,60,60,1,0
1.03974e+06,1.03974e+06,60,60,1,0
1.03928e+06,1.03928e+06,60,60,1,0
1.04126e+06,1.04126e+06,60,60,1,0
1.01077e+06,1.01077e+06,60,60,1,0
1.03869e+06,1.03869e+06,60,60,1,0
1.02752e+06,1.02752e+06,60,60,1,0
1.03506e+06,1.03506e+06,60,60,1,0
1.04055e+06,1.04055e+06,60,60,1,0
1.04056e+06,1.04056e+06,60,60,1,0
1.04182e+06,1.04182e+06,60,60,1,0
1.02396e+06,1.02396e+06,60,60,1,0
1.01171e+06,1.01171e+06,60,60,1,0
1.01621e+06,1.01621e+06,60,60,1,0
1.03527e+06,1.03527e+06,60.0001,60.0001,1,0
1.02898e+06,1.02898e+06,60,60,1,0
1.03463e+06,1.03463e+06,60,60,1,0
1.02552e+06,1.02552e+06,60,60,1,0
1.028e+06,1.028e+06,60,60,1,0
1.03648e+06,1.03648e+06,60,60,1,0
1.03909e+06,1.03909e+06,60.0001,60.0001,1,0
1.03951e+06,1.03951e+06,60,60,1,0
1.033e+06,1.033e+06,60,60,1,0
1.03797e+06,1.03797e+06,60,60,1,0
1.02819e+06,1.02819e+06,60,60,1,0
1.03998e+06,1.03998e+06,60.0001,60.0001,1,0
1.02267e+06,1.02267e+06,60,60,1,0
1.03356e+06,1.03356e+06,60,60,1,0
1.03023e+06,1.03023e+06,60,60,1,0
1.03819e+06,1.03819e+06,60,60,1,0
1.03868e+06,1.03868e+06,60.0001,60.0001,1,0
1.04157e+06,1.04157e+06,60,60,1,0
1.02751e+06,1.02751e+06,60,60,1,0
1.02291e+06,1.02291e+06,60,60,1,0
1.04022e+06,1.04022e+06,60,60,1,0
1.03571e+06,1.03571e+06,60,60,1,0
1.03634e+06,1.03634e+06,60,60,1,0
1.0318e+06,1.0318e+06,60,60,1,0
1.04173e+06,1.04173e+06,60,60,1,0
1.02596e+06,1.02596e+06,60,60,1,0
1.03554e+06,1.03554e+06,60,60,1,0
1.03377e+06,1.03377e+06,60,60,1,0
1.02722e+06,1.02722e+06,60,60,1,0
1.03279e+06,1.03279e+06,60.0001,60.0001,1,0
1.03659e+06,1.03659e+06,60,60,1,0
1.04002e+06,1.04002e+06,60,60,1,0
1.03379e+06,1.03379e+06,60,60,1,0
1.04412e+06,1.04412e+06,60,60,1,0
1.0399e+06,1.0399e+06,60,60,1,0
1.03658e+06,1.03658e+06,60,60,1,0
1.01682e+06,1.01682e+06,60,60,1,0
1.03804e+06,1.03804e+06,60,60,1,0
1.0397e+06,1.0397e+06,60,60,1,0
1.04075e+06,1.04075e+06,60,60,1,0
1.02902e+06,1.02902e+06,60,60,1,0
1.03732e+06,1.03732e+06,60,60,1,0
1.04203e+06,1.04203e+06,60,60,1,0
1.03669e+06,1.03669e+06,60.0001,60.0001,1,0
1.03867e+06,1.03867e+06,60.0001,60.0001,1,0
958556,958556,60.0001,60.0001,1,0
1.02189e+06,1.02189e+06,60,60,1,0
1.04624e+06,1.04624e+06,60,60,1,0
1.04368e+06,1.04368e+06,60,60,1,0
1.04558e+06,1.04558e+06,60.0001,60.0001,1,0
1.04221e+06,1.04221e+06,60,60,1,0
1.04182e+06,1.04182e+06,60.0001,60.0001,1,0
1.04005e+06,1.04005e+06,60,60,1,0
1.04142e+06,1.04142e+06,60,60,1,0
1.04062e+06,1.04062e+06,60,60,1,0
1.03117e+06,1.03117e+06,60,60,1,0
